Vendor,SKU,Asset Type,Asset Sub Type,Description,Model
Symantec,20942489,,,NetBackup NDMP,
Symantec,20943262,,,NetBackup Standard Server,
Symantec,20943426,,,NetBackup Enterprise Server,
Symantec,20943691,,,NetBackup Enterprise Server,
Symantec,20943694,,,NetBackup Enterprise Server,
Symantec,20943771,,,NetBackup Enterprise Server,
Symantec,2ZHAC2F0-ZZZRE,,,NetBackup Enterprise Server,
Symantec,4EBZXZF0-ZZZRE,,,NetBackup Standard Client,
Symantec,4GMSOZC0-EI1RE,,,Protection Suite Enterprise Edition,
Symantec,4GMSOZF0-EI1RE,,,Protection Suite Enterprise Edition,
Symantec,9BITC1Z0-EI1RE,,,NetBackup Enterprise Client,
Symantec,4GMSOZZ0-ER1RE,,,Protection Suite Enterprise Edition,
Symantec,9BITC2F0-ZZZRE,,,NetBackup Enterprise Client,
Symantec,BQCRC1F0-ZZZRE,,,NetBackup Client Application and Database Pack,
Symantec,BQCRC1Z0-EI1RE,,,NetBackup Client Application and Database Pack,
Symantec,ENC-CMD-32-SUB,,,,
Symantec,ENC-CMD-32-SUB?COM,,,,
Symantec,GQOFX3F0-ZZZRE,,,NetBackup NDMP,
Symantec,KGSTXZF5-EI1RA,,,PGP Commandline,
Symantec,LOV9X3F0-ZZZRE,,,NetBackup NDMP,
Symantec,MQPKC2F0-ZZZRE,,,NetBackup Enterprise Server,
Symantec,Q4MQXZF0-ZZZRE,,,OpsCenter Analytics,
Symantec,PVXBXZF0-ZZZRE,,,NetBackup Library Based Tape Drive,
Symantec,R-SW-TIER3-PRCCA-TSM,,,Endpoint Protection Suite Enterprise,
Symantec,UN6XC2F0-ZZZRE,,,NetBackup Enterprise Client,
Symantec,TWN2XZF0-ZZZRE,,,NetBackup Standard Client,
Symantec,UN6XC2Z0-EI1RE,,,NetBackup Enterprise Client,
Tandberg Data,3510-LTO,Consumable,Tape,"400/800GB LTO-3 Ultrium LVD SCSI External Half-Height Tape Drive, Kitted",
Targus,ACP70USZ,Consumable,Dock,USB 3.0 Video Docking Station,
Targus,AKP11US,Consumable,Keyboard,Targus Numeric Wireless Keypad,Targus Numeric Wireless Keypad
Targus,AMB582GL,Consumable,Mouse,Targus Multi Device Midsize Comfort - mouse - antimicrobial,Targus Multi Device Midsize Comfort - mouse - antimicrobial
Targus,AMB581GL,Consumable,Mouse,Targus - mouse - antimicrobial - Bluetooth 5.0 - black,Targus - mouse - antimicrobial - Bluetooth 5.0 - black
Targus,AMB580TT,Consumable,Mouse,Mouse - optical - 3 buttons - Bluetooth,Mouse - optical - 3 buttons - Bluetooth
Targus,AWV1274US,Consumable,Accessory,"Screen Protector 12.3"" for MS Surface Pro 4",
